,ood_score_normalized_spatial,ood_score_normalized_magnitude,is_ood,ood_score_normalized_all
202,0.09174371187489234,0.06882372997374694,0,0.02786487139163076
205,0.135329310964079,0.06259098927827238,0,0.033112519340005024
221,0.05003273485898107,0.10431724536325236,0,0.037459608172478266
252,0.26315478273750254,0.06910087698518969,0,0.03696596815172432
213,0.13556287000312786,0.08467182374777803,0,0.044891460012001165
232,0.03943866901938441,0.07619107554032957,0,0.03215995344948602
210,0.07436503741643752,0.1304496706425885,0,0.06867244429946605
310,0.14351112400887883,0.2282619835854379,0,0.113476120789532
228,0.11069130229912887,0.02796391008569332,0,0.011424927807471287
206,0.046780082290894795,0.1475400070066552,0,0.07461529774015101
233,0.23793750584333323,0.28156360620687654,0,0.1222148698010113
312,0.9999999999981587,0.5552447458295939,0,0.41136523332674085
239,0.12297987628449844,0.1837911396986853,0,0.12967913472422454
238,0.0638109189132405,0.12452684325383642,0,0.048787783113551565
254,0.044298244575939144,0.10541980830676767,0,0.04234353473695127
258,0.09192899098408946,0.05471940023041892,0,0.03444935913914538
211,0.20132501741809689,0.04409441042155125,0,0.03604247321324805
212,0.05494298428837685,0.1621429151774821,0,0.07708562757490584
204,0.2934405164797549,0.44870752255210433,0,0.13248343024775727
219,0.034595094549540586,0.08834642168401079,0,0.05015260608117699
305,0.19963904146735398,0.19345218672380318,0,0.05640932930617836
261,0.13110330545593019,0.08134194030098703,0,0.036708497706470986
259,0.08512944918012315,0.15440874113205894,0,0.1123385157651867
311,0.06829777324853213,0.09603186023755349,0,0.032326117770290416
304,0.05218504150359627,0.1272541197452688,0,0.05825243097980394
3081,0.13462570218121564,0.16662820793011301,1,0.09276298143875808
2351,0.1247946906271045,0.1507336738341284,1,0.07445643608418236
3091,0.05999285355604185,0.14426597505869054,1,0.057738764091954546
2541,0.2804623213003235,0.23773792296016666,1,0.31026515024999846
3121,0.48290466353178846,0.6468636026100827,1,0.2779732089564082
2071,0.20706065621946348,0.2665185453421168,1,0.20706643141934186
2581,0.15594548791746088,0.09700326252082886,1,0.14258789741177735
2601,0.10582659846455647,0.49512342674866017,1,0.33025790526486787
2381,0.04306709201716661,0.3028508101863292,1,0.17945627305561876
3051,0.08493465602295037,0.3491462714572805,1,0.15964718891874755
3021,0.671745905242019,0.49645878401971894,1,0.7029490204096016
2261,0.1285471461538491,0.35710947640872387,1,0.3736597526149671
2331,0.11247630746702396,0.5069903318619573,1,0.1494809127914435
2021,0.054787992138129425,0.22321012588159414,1,0.14853745504302562
3061,0.20725631433831468,0.3997804684934197,1,0.40805254620816356
2191,0.060970141412580336,0.21257923948086227,1,0.1351181502926604
2611,0.2683293175732553,0.18417003696226633,1,0.26168164683416
2131,0.07884727723715138,0.29503028331691816,1,0.19510243792385806
2151,0.3163563361248928,0.3076805915454421,1,0.5267242938564173
2061,0.587143491453243,0.9999999999999999,1,0.9999999999999999
2161,0.0680589300701645,0.16154792198804152,1,0.18263586293059966
2221,0.2767141232032644,0.9903431239650886,1,0.6276303552224495
2201,0.12753376684472773,0.1145584065974415,1,0.07042039114360074
2171,0.08110462166325254,0.14963375106932666,1,0.11755749238000203
2591,0.19178320298845214,0.5272696203101657,1,0.4396120443302222
3101,0.13743031143625978,0.2856260468287293,1,0.27495239569508717
2101,0.08021308978054169,0.20890087536813767,1,0.14359935210974895
2561,0.1422667225663289,0.23766237710856372,1,0.15934340783409978
2531,0.05069028967654582,0.17484928523116358,1,0.12025730404909504
2301,0.11973882541780938,0.08631872633590301,1,0.06800420773484576
2211,0.14214456867720357,0.1493049888693049,1,0.23750139291501407
3041,0.12782081521242855,0.6116836396785565,1,0.4781400548709593
2281,0.18517126745904644,0.20314652156948143,1,0.2268459285833873
2401,0.1183193679225233,0.10366115189769719,1,0.04037235629395303
3111,0.11018040748054292,0.26030522602326833,1,0.20798150384670255
3031,0.03611102032390114,0.11034389566959797,1,0.08957860617309213
2291,0.14235516749174773,0.1734671778194581,1,0.21117458312376683
2391,0.244863378261666,0.6145886973019363,1,0.4113177724898313
2241,0.11894901178199825,0.2550821497880132,1,0.26843867083740686
2051,0.14317910265538197,0.10713582708467322,1,0.06784194472685351
2311,0.127012400448147,0.23309302172027116,1,0.25336790951957244
2111,0.23164636727378965,0.14225322546341682,1,0.3268809459846898
2231,0.10973197931243951,0.16280410121777736,1,0.08042185789361085
3011,0.09952844859141474,0.1492909489802105,1,0.08851144136351986
2271,0.14214522684321979,0.4322963629554043,1,0.39848118386629
2521,0.13783408438809183,0.21474025284517598,1,0.15887705355014345
2121,0.0667686656953064,0.20797372687140098,1,0.15958233228254531
2041,0.1871789248183577,0.811137170737779,1,0.3340775068619842
2321,0.10595051417225083,0.1354546486614167,1,0.15245116946562187
2141,0.04149706748752376,0.22228172843306637,1,0.12927883940155566
