,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
00002,0.0026884021019337972,0,0.38211659901412215,0.010219409768029708
00026,0.001863134905576382,0,0.14165800725762662,0.003442829729748393
00029,0.00623125051389711,0,0.35352837749529653,0.009284398507972092
00030,0.002383650995439074,0,0.16760136337999085,0.005453413239975145
00051,0.000621969678723332,0,0.12611721919217736,0.0031734910101586843
00057,0.0001469269507479995,0,0.15832669302658398,0.003940995551175621
00058,4.3566834554682735e-05,0,0.1692133679739179,0.0042941665904159074
00066,0.00030309671259601457,0,0.22270794066489433,0.006201168418546597
00088,0.0001084417883770004,0,0.2052227915168499,0.0045162470533907356
00106,0.0001137530348814258,0,0.03537965941773994,0.0010679962662297996
00109,0.0002182936005999272,0,0.09855657934586641,0.002252338277970839
00110,0.0001524899583141938,0,0.1690127645128513,0.003672023055074135
00119,0.0004289723460486225,0,0.15319531246158924,0.0038861951298661407
00136,0.00023201790294998222,0,0.21122118201891119,0.004479193409443281
00138,0.0014973085302302448,0,0.14101596954113374,0.0040588558921375376
00141,0.0001282234460379835,0,0.2364222387230612,0.005183217984760961
00144,5.740542000465645e-05,0,0.18329401129406983,0.004644353798888647
00145,0.0012481773556922936,0,0.06190642192895837,0.003248770907632607
00174,0.0004653747029536715,0,0.2699079819654823,0.007333404704443028
00185,7.076065364267161e-05,0,0.06927283544684733,0.001608849031692031
00214,0.00023646982951305444,0,0.05058343733652315,0.0013681700354556746
00215,0.00021333019906777918,0,0.19378691626619077,0.0047825624652925195
00219,0.00034813763105973717,0,0.2775417345055555,0.00789259095074101
00225,0.0006829879270208017,0,0.04440754744856732,0.0014670227568882943
00227,0.0004738460869730234,0,0.059856229736653374,0.0016987064886089009
00243,0.0004287383711894497,0,0.055735424989002136,0.001701070683769951
00251,0.0007932843536480148,0,0.07931760608719586,0.0018401161748087564
00268,0.0015956634878471633,0,0.2705356591312301,0.006554700309729838
00280,0.0013710372594104446,0,0.08411084120779717,0.002829063766304813
