,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
0014_01,0.8970080094589172,1,0.00035078525833417957,0.0014043201822278963
0026_00,0.30375716743247055,1,0.0003468093915650266,0.0008658857336079877
0027_00,0.03423517573364694,1,0.0003498685387143017,0.00038806368928363246
0027_03,0.04970291927743535,0,5.9773499277998914e-05,0.00010276917015869161
0027_05,0.11762492677101227,1,0.0034909254796886367,0.0055304773622264665
0034_00,0.37198473735810295,1,0.0003502008318186606,0.0009451402610805232
0038_00,0.033165082711749325,0,2.9868402135121405e-05,7.7160548799423e-05
0038_03,0.02967388794424339,0,5.892825436043643e-06,8.200210988181849e-06
0054_02,0.04257346820868236,1,0.000969377480812911,0.0011400502008551449
0056_05,0.031392504771109,0,2.068956263545873e-05,3.6805601606535955e-05
0056_09,0.07182328855095303,1,0.00035412371796660595,0.0003914481300950916
0057_04,0.036079932147136076,0,2.1735776157540237e-06,1.9514498136808186e-06
0057_06,0.03128770096205699,0,1.7644465245053155e-05,2.1168795812070652e-05
0062_01,0.035414794755242306,1,0.00032939839413698954,0.00037379286180356044
0068_00,0.07045317930086013,1,0.0011432069107560824,0.0014352047772755888
0070_00,0.0699653256322803,1,0.00014702052537360767,0.0001945257033749803
0071_00,0.03566168026603253,1,0.00024258930628603931,0.00031405901251334447
0079_00,0.02946252838092502,0,1.8121581279219506e-05,3.378742136479671e-05
0079_01,0.029635757411760614,0,3.514618755785148e-05,5.5091853667240424e-05
0079_05,0.0648413318247327,1,0.00017859972726810746,0.00023534422860572676
0087_00,0.6965022325027306,1,0.0003742094888382869,0.0012305542031844224
0097_00,0.5433707697779351,1,0.0006980863693379763,0.0020751706459134793
0103_00,0.19485270371274346,1,0.004146060920217527,0.006715449788862818
0103_02,0.04751491859139025,1,0.00024321774261690677,0.0002468844582199127
0113_01,0.0923936017396277,1,0.0001242427283175194,0.00014933652123658676
0115_00,0.8571087752219908,1,0.00034700973420374463,0.0012180496226288258
0117_00,0.27845482662376847,0,0.003981542968417334,0.004042050733563133
0117_01,0.060192725822906724,1,0.11214690447011322,0.11247317131676757
0117_02,0.5247434693153887,1,0.000340741047990874,0.0009231838066579355
0117_03,0.05501495935636801,0,3.389067904011274e-05,4.81198558340193e-05
0124_01,0.03775163311508472,0,1.3883626545186138e-05,1.1472057992430197e-05
0126_00,0.17007672666896442,1,0.00715630889502904,0.011555058641197165
0126_01,0.07309998064944248,0,6.528765897501737e-06,2.5898611614035915e-05
0147_01,0.07102775605876965,0,8.959782010968804e-05,0.00013429609741467082
0147_04,0.04404760207422741,1,0.000174755999688898,0.0002198001372848024
0151_01,0.05416159160795037,1,0.0005954275121354847,0.0006877148092294046
0151_02,0.04541367409983524,1,0.0037839119490644334,0.004204642596267737
0161_01,0.08734063952640728,1,2.0979612453610197e-05,7.887611845810492e-05
0161_02,0.052027169404822105,0,6.181704743109292e-06,2.6897097349002476e-05
0164_00,0.4068496819399606,1,0.00035443815444562404,0.0009439937106577264
0172_00,0.0896863309696479,1,0.9999999999999949,0.9999999999999922
0172_01,0.03886885397925169,0,1.0693830701583976e-05,2.726776591163483e-05
0172_02,0.03523531525666617,0,2.1443297856118463e-05,4.534627654654946e-05
0172_03,0.044533090737530694,0,8.313562404868605e-06,1.662573616205752e-05
0180_00,0.38384370129878137,1,0.00034183014087510726,0.000889455354497578
0184_01,0.09896515685532493,1,0.005095549457277466,0.007756037974604804
0188_03,0.4196661448577908,1,0.00034317351457637473,0.0008866573957605224
0189_03,0.18663543375519737,1,0.00029503356064667887,0.0005097687073893372
0189_04,0.035201753898870994,0,1.0969960896647964e-05,2.4653325399921814e-05
0189_05,0.028139172622055158,0,1.3692035175875246e-05,1.8175311764954915e-05
0195_01,0.8765996913708087,1,0.000704108565396157,0.0024669011026846694
0195_02,0.6265924744644555,1,0.0003584179272237489,0.0009842159319622661
0196_01,0.041007499204943426,1,0.00011260160633856713,0.00011878773759534073
0196_03,0.2079551570423981,1,0.00028944301087962176,0.0005204059953251937
0196_04,0.10444317072604233,1,0.00023795551405029775,0.00032716263035668957
0197_00,0.3548693341780251,1,0.00034292891495525224,0.0008234050393792502
0205_00,0.26077083135259477,1,0.005411368153031514,0.009226578037915526
0207_00,0.08254271527619257,0,2.1579002283493393e-05,4.1074926272095714e-05
0207_01,0.036941889173265574,1,0.00031052112234611237,0.00036374136885438323
0212_00,0.4222136652367839,1,0.00034847538492009336,0.0010181986864194977
0230_00,0.09505127790467682,0,3.08371958801661e-05,6.972467450881936e-05
0230_01,0.0807776475012664,1,0.8050743931484232,0.8044394737184557
0230_02,0.03545548152975886,1,5.904020588631083e-05,7.340208222909124e-05
