,ood_score_normalized_spatial,ood_score_normalized_magnitude,is_ood,ood_score_normalized_all
0014_01,0.22651583402669154,8.548532884579723e-06,1,1.6891077578468163e-05
0026_00,0.024454115362176208,1.5436738012325242e-05,1,2.5343239503720904e-05
0027_00,0.02832827507945414,3.2489823815353846e-06,1,5.890780033893282e-06
0027_03,0.0258628474886629,1.579404347861644e-07,0,3.202329496511252e-07
0027_05,0.022287780392618493,2.890500791779105e-06,1,5.81262114857899e-06
0034_00,0.058629480045103856,0.0025802249011383778,1,0.003161823887962693
0038_00,0.0245149216342544,1.1009856800429166e-05,0,1.4576019650237928e-05
0038_03,0.014583192193695332,4.856545380328224e-07,0,4.997330091695856e-07
0054_02,0.01923228488493858,1.893596984305492e-05,1,2.7999339137676642e-05
0056_05,0.031210805140077208,1.6133270501899738e-07,0,6.126490048250341e-07
0056_09,0.01971205844963527,2.7183030268644764e-06,1,4.7735146029723036e-06
0057_04,0.01792042217156169,6.390612230180734e-08,0,1.079750618948189e-07
0057_06,0.02049139701194776,4.154614936736469e-07,0,5.532829261901777e-07
0062_01,0.04566547805306727,7.878729387719073e-07,1,2.5106594678552326e-06
0068_00,0.02492398382085044,1.426829558030826e-05,1,2.222929813110156e-05
0070_00,0.03120483441312737,2.879562310068915e-07,1,4.639924963105616e-07
0071_00,0.023219622775361198,8.92807876998716e-07,1,1.769136190915863e-06
0079_00,0.06078187088403214,1.1578684597978285e-05,0,1.6612709468924235e-05
0079_01,0.019667302227510976,1.0941410357628689e-07,0,1.9899302360249109e-07
0079_05,0.014242741114161322,5.781521037264507e-07,1,9.634105516403897e-07
0087_00,0.1764610783910142,0.0001229957971941914,1,0.00024113988273873855
0097_00,0.565077282635162,1.0,1,1.0
0103_00,0.06631487488904247,1.265415350158133e-05,1,2.409464251514493e-05
0103_02,0.022229711624791985,7.386302498403839e-07,1,1.381174212426811e-06
0113_01,0.02642449207368298,1.1045654454257477e-06,1,2.4924499532070554e-06
0115_00,0.034880011227804424,6.96354906943138e-06,1,1.1978911219485515e-05
0117_00,0.44701173517035,0.0002543125396815038,0,0.0003415124959710395
0117_01,0.032696866775272435,0.0007267129642367687,1,0.0008837069405988977
0117_02,0.02113757802380303,4.1067038102539185e-06,1,7.458111869034448e-06
0117_03,0.03015468590754456,3.7745099579370327e-07,0,4.7221692614473876e-07
0124_01,0.022636979575264584,2.5493504222056815e-08,0,1.8033488551726795e-07
0126_00,0.04927784766493101,7.146341153641644e-06,1,1.308833257324979e-05
0126_01,0.022488372402242197,2.3988774501368264e-07,0,6.838710963835598e-07
