,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
01531,0.0011126226937525382,0,0.08100437972074838,0.0014723060393458534
00145,0.003820476690333828,0,0.06686047861945625,0.002798398705354445
00030,0.0039642326590090945,0,0.17726616451258295,0.003752642019360619
09495,0.004427364618639671,0,0.06337619264646353,0.0038840924637779098
09520,0.008493841651036456,0,0.0739397996330173,0.003121549159381875
12660,0.0032380715373428993,0,0.10305728825285115,0.005838317514302749
15921,0.0019517631597154208,0,0.19039056694134296,0.004123806457000027
08415,0.002957090090222394,0,0.17786620720125113,0.0039031333267906055
07058,0.0010405790418911473,0,0.10878905558684873,0.0017121123498905686
15635,0.004689805475933509,0,0.04353763021868529,0.004146143432182167
22870,0.007391222631578692,0,0.2909240007319465,0.007387508447006624
15391,0.00430246742139402,0,0.141310934040285,0.005994725092043801
13655,0.006464389654789534,0,0.0223697842476724,0.002654041149445611
17326,0.00012575652527093613,0,0.125050850647703,0.0020743374935363003
21723,0.003437091095604955,0,0.22895558910760894,0.0058279695673751864
09022,0.004212580728681411,0,0.08128195988050332,0.003745103302440957
08496,0.00034958116176580465,0,0.025265983131072218,0.0009181904909412056
03681,0.006508113934565004,0,0.1813954705763584,0.005183419907019898
20202,0.001981847235392604,0,0.14458379564075646,0.0030108165361083395
02571,0.0016785176793059624,0,0.14667348030309257,0.0036660459593195758
15968,0.0056112599402724,0,0.03434282382503589,0.0033603629897781947
15458,0.0023501717619675237,0,0.02188786399278405,0.0011696157464669487
02975,0.0003593813601875204,0,0.15064122329867616,0.003627319147184031
20252,0.0005219072223805962,0,0.15502576931385975,0.0035484315505207287
17437,0.002067667344386009,0,0.029652316260716446,0.0007963197303160448
12855,0.0028288100569646354,0,0.05709513003804786,0.0017547637704758649
18908,0.006534146068488406,0,0.01788325156645793,0.0024511512003535627
13227,0.0009295243255455073,0,0.0741648002495337,0.0019752245449808164
16065,0.00764554932113646,0,0.1975694522941395,0.005626904315506965
21934,0.002290101189263801,0,0.2363012551418777,0.005346771219302082
23097,0.0006960288570910624,0,0.11008017828573143,0.0026189317410909956
23528,0.004363446672752762,0,0.17881038768521912,0.005950386452898673
12934,0.006078576267076574,0,0.1833335620801881,0.008850266896038406
05016,0.0031619760447279834,0,0.09608650211778719,0.003580705421456113
09051,0.001234318832759023,0,0.09270998587347215,0.0027245862883427275
22986,0.000166306510176493,0,0.059393832023548365,0.001492945349182922
22947,0.0031771131946873622,0,0.10285984925866488,0.003157892752187172
17093,0.002530562636728286,0,0.03614017202982575,0.000655356893576759
03447,0.004169593232462163,0,0.21597260684300054,0.006698032569971865
01610,0.005699435111619301,0,0.14376753654385707,0.005769307097930802
14102,0.008763749734510527,0,0.771246355134727,0.01859512460562918
24624,0.001370772344332684,0,0.12789396858105725,0.0031803740368240717
15021,0.0016225408118379714,0,0.010388772499986619,0.0001449230757023824
15928,0.0023682988021015102,0,0.1303082995233895,0.0038961776601494076
09753,0.004135153316280534,0,0.1387101272285526,0.004468656545047242
06077,0.00047020330773761944,0,0.09317833837560507,0.0018507399480073375
15321,0.005374231967840732,0,0.015866895191310945,0.0015038618805513668
19523,0.00366227176945374,0,0.010274105212488904,0.0008744990612118589
08493,0.001464867700581486,0,0.010118951519003067,0.00043335931490796377
18132,0.001876072007617327,0,0.06479295187888184,0.001631149677343944
12195,0.007025992866902146,0,0.558704162789867,0.01405228233893041
01691,0.0028553095381535294,0,0.10482735874904901,0.0036695180118720165
01387,0.0019704621960459612,0,0.18431839030105743,0.004762102759683293
20771,0.000596898927727647,0,0.12898951965655175,0.002642143363547946
03617,0.00028754724675328266,0,0.12469266112807503,0.0031515452701982223
24037,0.0045152430225882745,0,0.15161963193515546,0.0035404893944289617
08959,0.004954799407059941,0,0.08024846007755088,0.0039284435822607945
21165,0.0020903582015588135,0,0.07233687021911919,0.002384893366841972
05843,0.002491300254769284,0,0.11117088604304746,0.002177855652697747
20248,0.0035427838785716905,0,0.13445472372917422,0.00475058936171115
08463,0.0002723708280503216,0,0.04072303930819594,0.0008608627347244306
13866,0.002702195216711799,0,0.18209501711052625,0.005334644745384061
05543,0.0006812607186104511,0,0.11866557181465104,0.0029847777624614777
19548,0.006218485282055222,0,0.041515977890534454,0.0032483858470227153
15560,0.0028106317273668144,0,0.05178147132897751,0.0011763947163106138
11071,0.003007143007091722,0,0.017631526968746904,0.0008636786656456376
22577,0.0031657249069019246,0,0.14154569425080135,0.003964777347698904
19194,0.0012874773747669228,0,0.13517243342593627,0.00271824524022588
07205,0.0008471309278030934,0,0.24633241916748033,0.004641668846218051
00353,0.0026531546395809295,0,0.13128060082447085,0.003342684614332413
07904,0.004001822251356956,0,0.07702032069323349,0.004014859915313038
09511,0.008170826064191191,0,0.23649824512375633,0.011542202883622442
05561,0.0032807781637791186,0,0.09382771076391745,0.003703890440028322
03352,0.00011609802332067941,0,0.09223853674553537,0.0012752791149884515
17329,0.00021515503815730863,0,0.1369166921580183,0.00243413974429404
10004,0.004060940800379939,0,0.13817623084629366,0.004692716306441302
09943,0.002648191203281755,0,0.14591738698773535,0.0040738343602533394
06080,0.002247650519991322,0,0.10809821531336648,0.003614682543338192
19417,0.007051318953966912,0,0.08000531187121959,0.002376007942205776
08098,0.003770764972843577,0,0.06139263991286223,0.0015584927423809738
19313,0.005247612134053361,0,0.10291660723022984,0.0038457672206526424
00058,0.00024697673961904964,0,0.14822665907135196,0.002795329661156117
08455,0.0010369996240293664,0,0.0680044130415617,0.002948358878277443
17231,0.003841203788526757,0,0.014615763166936217,0.001689886978652658
05246,0.0009944758526167893,0,0.11457200582161337,0.0020851098940503593
19632,0.0063512004780940075,0,0.07439469768143758,0.00578939652183605
20174,0.010860073073181506,0,0.10687461603152855,0.007873464321562192
05676,0.0015622687203844044,0,0.09038593333274333,0.001613316216158069
18942,0.0005654577050203815,0,0.017537164063519215,0.0002737539752946795
21308,0.001927086745488486,0,0.20990324629945958,0.0037350507891395265
03833,0.0005242258641323794,0,0.18013802181180302,0.004441443163621265
17920,0.0005146747983498083,0,0.12520655010200027,0.0032381091527665324
22196,0.0044828904293500536,0,0.17980679661156235,0.005268249410016807
21493,0.0015718468803415013,0,0.20530369391198672,0.00475508047446003
24284,0.0017701266821618371,0,0.1620346578142329,0.004221866009847537
00394,0.0026657838362827194,0,0.1491626790924919,0.004511552560248984
04317,0.003080455497097961,0,0.11797100106080106,0.002999507687447616
23613,0.0010546698270821008,0,0.14342112452163344,0.0033676015429918212
02765,0.002600018613545178,0,0.1146499020630683,0.003072873863836253
06126,0.003042453299858309,0,0.20815467436014534,0.005601366503208774
20381,7.734298122500921e-05,0,0.15323673268901603,0.0024957393333767636
07339,0.003416049815675832,0,0.14012511241947995,0.003070081079188741
07397,0.0028701667612608664,0,0.11261946246852776,0.0038224184710374076
21558,0.006491609807542116,0,0.08444408995366443,0.0067453911859061706
24331,0.0002325573313823425,0,0.17381925589724656,0.0035359714947229308
01961,0.0010497130800159568,0,0.08132392366768228,0.002037486429170916
00801,0.0020717180200776823,0,0.07759945212204865,0.0028456692391041673
04257,0.005867809847641575,0,0.12002696449724926,0.006012994703750781
13997,0.006533925769718373,0,0.028033919361055985,0.002098178964991014
01810,0.004306732228530719,0,0.09453827037149559,0.0035896356514985212
12468,0.004370928750613924,0,0.055012518519981894,0.002285005342327765
