,ood_score_normalized_spatial,ood_score_normalized_magnitude,is_ood,ood_score_normalized_all
0014_01,0.04429778154760533,0.7117018762018923,0,0.6312388165293944
0014_03,0.0005425148631613087,0.0035208471467228237,0,0.002106680023171319
0022_00,0.0036990361992685615,0.004538821707968137,0,0.002274079427276191
0022_09,0.040806033536434236,0.0010376256597441776,0,0.005176772419459797
0023_05,0.014245788690385933,0.01576975833057583,0,0.010665994691341253
0023_06,0.0025171624215933677,0.000839199234929958,0,0.0003659430657523975
0023_08,0.004144527813107815,0.0004009469695576072,0,0.000362216044168419
0025_00,0.017744753467173666,0.008097239870325295,0,0.005978966760270711
0038_03,0.023732864899711558,0.004391273119362916,0,0.0048356472701534745
0042_02,0.007809878058335157,0.003123079510979657,0,0.0032727027734904207
0042_04,0.008628622987051535,0.009554437069305357,0,0.007037489838920519
0048_00,0.02504713456831416,0.007367436327082085,0,0.00452093389065849
0077_01,0.018435621653938694,0.007002677253134149,0,0.006232577223259887
0078_00,0.013014145013490255,0.005301746624860472,0,0.0035979857738570775
0078_01,0.01007472756754208,0.0,0,0.0006266818075618579
0078_02,0.015190976539532938,0.0011878030144687843,0,0.0018241614463671868
0085_03,0.062382026094730876,0.02474917502336429,1,0.028923205913962063
0087_00,0.05684037575811351,0.24940284607866472,0,0.2355726266392327
0088_01,0.045876732327435714,0.7238195286430177,0,0.6788005335589395
0111_00,0.01431973064912579,0.00682445913701043,0,0.007012880954973867
0115_00,0.04677661433058139,0.005488605531025702,0,0.006822987402302435
0122_00,0.009040103014362318,0.0027856784556208355,0,0.002750206671958626
0139_00,0.00544681313450372,0.0034478600575111474,0,0.002698376798604657
0139_03,0.002128598850748131,0.0054003012187689116,0,0.0034386615546735818
0172_00,0.03426793473950146,0.019341084707189656,0,0.020951462058721327
0172_02,0.021205771941293708,0.014420966077233869,0,0.018795639368982864
0176_00,0.0022522666525674113,0.005747852435223047,0,0.0030974578165101512
0221_01,0.020646672975993624,0.005268155677549369,0,0.00929431795003377
0221_02,0.037841174625690206,0.011760842136042005,0,0.011700886894693108
0230_01,0.02779745724883179,0.016279280404688703,0,0.0204688212869257
0230_02,0.004511949479633043,0.004641039724795234,0,0.0022473739074133823
0254_02,0.0034437336251716124,0.0012424436134655522,0,0.0009523113937277236
0274_00,0.0018723946114117464,0.004961192379790045,0,0.00273646421494644
0299_02,0.0037198376312045462,0.0018140002665956762,0,0.0006275741800633243
0305_07,0.05296549939843215,0.02147704715269794,1,0.023087808219427765
0348_00,0.022846703852497596,0.005827557442305679,0,0.008798034882422643
0363_03,0.01342428058439457,0.004440263644218469,0,0.0029740467548191674
