,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
202,0.08024492998142516,0,0.1290871976070586,0.20328754941144578
204,0.9999999999284626,0,0.16581080558615574,0.3077584234398521
205,0.19190800309393508,0,0.033332470257464886,0.048553735336476625
206,0.0623766470416032,0,0.03894170091565855,0.018243362274839862
210,0.15630301320358087,0,0.04419790472891116,0.043509843708552716
211,0.16087282911489706,0,0.02233393982049421,0.02635042833120551
212,0.11300030952933687,0,0.0972038319212695,0.07221603210459204
213,0.07610705573322468,0,0.06557162175804696,0.06015758231963914
219,0.036981602760535574,0,0.1342976719564076,0.17133663485373657
221,0.003000290153777853,0,0.012652087221281028,0.028056156540553854
228,0.01570698461600375,0,0.16991205569823506,0.22201293948161524
232,0.3195904035069541,0,0.039642197771660406,0.05102477634228555
233,0.4151947871700061,0,0.2460317340884672,0.3372468586578224
238,0.11210911639510712,0,0.052505417916312344,0.04947943728025244
239,0.08595130089128022,0,0.03613136565691703,0.05032196561128812
252,0.13366248469883207,0,0.06275302329171428,0.0674739828858017
254,0.0,0,0.0945165230290944,0.14530062995990647
258,0.010723685983598602,0,0.09007722747296248,0.08979366565751967
259,0.09593228777859537,0,0.1116396077635481,0.16592224394936225
261,0.011411371319768564,0,0.02655532625546572,0.04687142379688391
304,0.11150266742293177,0,0.1376915979967611,0.1569117352498479
305,0.37559861643781856,0,0.11287195454135003,0.11969762043627116
310,0.0819336293196998,0,0.08123095707497015,0.09031489078437152
311,0.07186005315953371,0,0.05878859269004361,0.0677653428619225
312,0.7872270355238823,0,0.4328088626136719,0.5663132695683314
202,0.042835634417973265,1,0.04684890825668522,0.03946028502951727
204,0.7117803605855105,1,0.24420068177724757,0.3348375809467298
205,0.2034973899279812,1,0.030843946488231508,0.05289737919388119
206,0.25597878539474517,1,0.1440026395317211,0.19816624327093715
207,0.07328859318712051,1,0.10830855236045142,0.09111290096095673
210,0.3945862079473402,1,0.21143677259530097,0.20057597912697195
211,0.37789626972806356,1,0.06973353581789121,0.13536201540590928
212,0.5115183729201138,1,0.21045084145117723,0.24625531977764611
213,0.5482445096449604,1,0.2566060334167793,0.3267137666947956
214,0.0789186016850108,1,0.06424764201378019,0.06288662531977889
215,0.4497702778544218,1,0.328490511514744,0.35133457650636296
216,0.6010013968181475,1,0.17248985541159298,0.23283979978358937
217,0.0011012244292829957,1,0.06936326338230017,0.06398941037489513
219,0.2735684438489902,1,0.4483227002763607,0.3823067832253918
220,0.029638466031630888,1,0.04810403001768893,0.07286131483982941
221,0.39125418096077325,1,0.1337608228838654,0.18297990180202398
222,0.4171648554215906,1,0.999999999996473,0.9999999999974117
223,0.05838608311030872,1,0.08033636287383056,0.08729054019577394
224,0.5015496104190842,1,0.1392521811969931,0.1749108422282525
226,0.4491298889913543,1,0.15711164606388459,0.21365439750676823
227,0.05971141463620227,1,0.04926921004289731,0.0486021188393258
228,0.14154477048241657,1,0.11864217900668664,0.1166579959003232
229,0.11824432247803697,1,0.04316247516052333,0.05225689365593126
230,0.3615532319803389,1,0.24055235934338112,0.26521053410321177
231,0.3537217613719374,1,0.3010066420661366,0.37084857020548895
232,0.5018276285943434,1,0.13496636546757093,0.21048172883074653
233,0.6940325386098974,1,0.31583265570990554,0.4598986965623317
235,0.2106076752902582,1,0.06389088426729696,0.08430085430447776
238,0.518436439409171,1,0.564076620242795,0.49044970997032794
239,0.4587316809391214,1,0.3434982637157335,0.3598291765525846
240,0.08737417512390197,1,0.12543100869787263,0.16575240998784635
252,0.05681681084938813,1,0.11783756353104755,0.16182347702676378
253,0.6175403232891125,1,0.333684368512634,0.36273809590576367
254,0.2093584588431046,1,0.058655743201128374,0.0730267195634539
256,0.20027823753084817,1,0.07851157007283753,0.06924579684990405
258,0.16986394909830785,1,0.11447293131824282,0.13482907766447172
259,0.7116233050263272,1,0.3531748053263253,0.44495576274341686
260,0.29311315962506435,1,0.39750152182086784,0.39901889486717357
261,0.18963504130661868,1,0.017125897307832646,0.03299415283736078
301,0.2709010552557626,1,0.10602244428583196,0.15996955855743392
302,0.26296697398803676,1,0.13854670191973328,0.2053413052221917
303,0.46131214672266607,1,0.19077769875767173,0.23448852199352263
304,0.3898549503443122,1,0.4881430068411431,0.5202093900632824
305,0.6233317714695936,1,0.47248211864000905,0.4484837754854165
306,0.4627611505519034,1,0.272904590048841,0.3623795875170732
308,0.04167098842722037,1,0.09939580119470064,0.09524764383352505
309,0.6025835448122273,1,0.12776727814903202,0.2624210578310279
310,0.3859158497357472,1,0.09018976078697698,0.13574043777955339
311,0.239642395235321,1,0.2635626149063644,0.2553980466304904
312,0.6662800220963597,1,0.7521203152472178,0.7737734396535927
