,ood_score_normalized_spatial,ood_score_normalized_magnitude,ood_score_normalized_all
ADE_val_00000527,0.07387338575826938,8.282409584859091e-06,7.127980970244514e-06
ADE_val_00000382,0.11241286493892787,2.5005493621411895e-06,4.7377408291155626e-06
ADE_val_00001362,0.12734667494358834,6.641361321414516e-06,8.870470592037308e-06
ADE_val_00001688,0.2534620207623506,8.312202018709173e-06,1.1146921468449361e-05
ADE_val_00001576,0.03853708723687496,1.3454719910457401e-05,1.3853302545800949e-05
ADE_val_00000651,0.5147225688039873,8.189466538451457e-06,1.0081046290171936e-05
ADE_val_00000661,0.12434925356733867,6.993020798499171e-06,8.667058039595447e-06
ADE_val_00001242,0.05242246372531832,1.615941883056204e-05,2.6665344776597784e-05
ADE_val_00000689,0.2324751097379238,1.028259263328659e-05,1.1592952764365446e-05
ADE_val_00001231,0.27055699913957654,7.96844955248193e-06,1.0866482365884287e-05
ADE_val_00001848,0.12113386480417744,6.628707222882434e-06,8.33080905790174e-06
ADE_val_00000785,0.09457804172609095,3.48776027045747e-06,4.411318175629403e-06
ADE_val_00001918,0.35837254682526937,8.901815132830642e-06,1.478180202170202e-05
ADE_val_00000770,0.18869544779903036,1.776538314262954e-05,1.6410217224974757e-05
ADE_val_00000511,0.09079548373299615,3.24037187050497e-06,6.498582706037155e-06
ADE_val_00000973,0.13809654247495845,6.6554824390769635e-06,9.247361294957395e-06
ADE_val_00000487,0.014170439227763383,9.054954875990186e-06,7.780221728225532e-06
ADE_val_00001734,0.10791664195972907,5.176027692983237e-06,7.884540641339907e-06
ADE_val_00000637,0.0716258508813738,1.566976722846267e-05,1.3500142991524799e-05
ADE_val_00001016,0.048466233986851195,4.759515308133852e-06,6.00975649978421e-06
ADE_val_00001270,0.3732248998933054,1.4247957514720608e-05,1.835089133788557e-05
ADE_val_00000410,0.19368297743009533,1.617636848059283e-05,1.6966724280269765e-05
ADE_val_00000471,0.08387089393105501,3.153910078218407e-06,3.5706308053030506e-06
ADE_val_00000600,0.2033714553407035,5.360570399251529e-06,4.516844635210082e-06
ADE_val_00001698,0.026717738297454514,1.1748293954549907e-05,1.2218515463782142e-05
ADE_val_00000056,0.06055273824175478,6.443529829511217e-06,3.930542445947476e-06
ADE_val_00001481,0.19552152166574946,1.1982566434903913e-05,1.0091660992547845e-05
ADE_val_00001179,0.5149694388368043,1.470333130933207e-05,1.413926607530496e-05
ADE_val_00000044,0.1821226085408373,8.659330451902637e-06,1.1922216258144415e-05
ADE_val_00000089,0.2696769399813047,2.202127251716565e-05,1.8057057625658785e-05
ADE_val_00001791,0.039369585011594835,1.2615903884697013e-05,1.1491374162321156e-05
ADE_val_00001309,0.04950447213273715,5.71686547029356e-06,4.795198869210411e-06
