,ood_score_normalized_spatial,ood_score_normalized_magnitude,is_ood,ood_score_normalized_all
0014_01,0.3439653163430139,0.9770931807405031,1,0.8779798773983691
0026_00,0.04765136386248144,0.6195686414936192,1,0.6190220946745482
0027_00,0.018863330788572122,0.05064931377293001,1,0.07964001646017503
0027_03,0.03173857953318214,0.002019233578842076,0,0.0028962520983212
0027_05,0.04796419610882622,0.15258211659986987,1,0.16256511319937528
0034_00,0.18452072238781694,0.03981901765183704,1,0.05799633051861068
0038_00,0.03285889226952941,0.10971418123183369,0,0.11596604787993554
0038_03,0.0007981268177174737,0.00497750997540272,0,0.003980839412102396
0054_02,0.026399363769096976,0.43590938744882224,1,0.459376136005623
0056_05,0.09591714515298591,0.0018023204463666613,0,0.004622233226439109
0056_09,0.022222629727496883,0.04443710345240514,1,0.06887174224410805
0057_04,0.022890082674824744,0.0005608830005369922,0,0.0010063655503925433
0057_06,0.0015130386792745634,0.0034601913941434384,0,0.0033058251688348047
0062_01,0.07646997737688564,0.006073943022021293,1,0.018575053132475372
0068_00,0.05130778866727992,0.5101618727796114,1,0.5308348241938228
0070_00,0.028838096852451114,0.002445447138319634,1,0.0031695567250348664
0071_00,0.03285342694991105,0.0073720006059697874,1,0.018137040049350812
0079_00,0.08860244215886601,0.24925996404199713,0,0.27147347823136064
0079_01,0.025567866849513704,0.0011017783697876366,0,0.0014094186722480233
0079_05,0.006804014080374147,0.00670326498776012,1,0.01497705584966305
0087_00,0.4548424421221444,0.03640867596272208,1,0.07903957953320849
0097_00,0.6444132550586216,0.03442574376145639,1,0.09128118152321711
0103_00,0.11381957808662811,0.024309101201269674,1,0.032850996188966586
0103_02,0.019742441257641814,0.01609927837432765,1,0.021480713207798954
0113_01,0.07568654361020016,0.01859563874776048,1,0.027245724816063327
0115_00,0.08375894486289838,0.4255130587573022,1,0.43872157778403537
0117_00,0.5564079111626539,0.028176895931319904,0,0.06215122452069864
0117_01,0.049143924679493654,0.3222523237804649,1,0.33318645316831647
0117_02,0.035082674307744845,0.09316951558691364,1,0.12422334946258767
0117_03,0.06349257708324703,0.008356734062206118,0,0.007013371558280931
0124_01,0.023761759205401987,0.0003649983253923418,0,0.0017474596307075025
0126_00,0.1061555067021217,0.4810534571804746,1,0.45903085807312416
0126_01,0.01481642598502046,0.0024400190589402696,0,0.00486800395302869
0147_01,0.06044672071766601,0.002075235299754086,0,0.0034510142496870376
0147_04,0.01521909416155701,0.008592580074983463,1,0.018642441733639784
0151_01,0.034873667550469334,0.1307474058912809,1,0.16082776728929188
0151_02,0.007882905222555909,0.1434826052947345,1,0.16693656602085344
0161_01,0.0232851694417702,0.0024989161455622167,1,0.004695209023093849
0161_02,0.021213151344379573,0.08419142386094537,0,0.08652165685990852
0164_00,0.16094263597563524,0.18169217884538078,1,0.15464288410257093
0172_00,0.04903630103270763,0.8949008710426561,1,0.9023814706001942
0172_01,0.06860726194553232,0.002742682893614897,0,0.004935586991986765
0172_02,0.022004471183209168,0.0013132070473296771,0,0.0022856410053344336
0172_03,0.012085244454862672,0.007000734592723954,0,0.005839661441936365
0180_00,0.24260665382723715,0.02834246166718258,1,0.04195006969971843
0184_01,0.043057569206182957,0.39094430121140183,1,0.3945202684564884
0188_03,0.2282935215568492,0.028950114570199317,1,0.05068318161692843
0189_03,0.029178342766079186,0.38260871744518204,1,0.41695986765432885
0189_04,0.008173409337865308,0.0025599600859926974,0,0.002818466518109021
0189_05,0.025686651996719313,0.0018852990271264697,0,0.0019407160481373323
0195_01,0.08238539516901154,0.1477947841933076,1,0.1944859337541766
0195_02,0.06651980448568888,0.13294364890396798,1,0.14305360663367037
0196_01,0.01742816204261309,0.014404110881721258,1,0.023211714582341784
0196_03,0.009018197675668091,0.28717951503035616,1,0.31035237944783073
0196_04,0.008071793039675179,0.22248486121075609,1,0.23826035609468252
0197_00,0.04534044875178681,0.039164378130356246,1,0.04495423459854698
