,ood_score_normalized_spatial,is_ood,ood_score_normalized_magnitude,ood_score_normalized_all
consep_4_TILE_1,0.04723044274913246,0,0.0004196062231508154,0.00546888666685742
consep_9_TILE_1,0.03734642382107352,0,0.0018132663782971803,0.02733891786328574
consep_9_TILE_2,0.01827473698740151,0,0.00027358677378207854,0.000898307982323366
crag_10_TILE_34,0.014938700800874677,0,0.0003075122619871816,0.0012472738811542953
crag_11_TILE_10,0.011157081815331281,0,2.294539395155681e-05,1.4853861463635344e-05
crag_11_TILE_35,0.01206377549614918,0,0.00014715477172263977,7.556447570232735e-05
crag_12_TILE_31,0.014659801452213423,0,0.0003691363974945128,0.0010929659690482592
crag_14_TILE_4,0.01014134478484719,0,3.336145732824053e-05,1.7663760177543146e-05
crag_14_TILE_7,0.01288775559749061,0,1.751543619007636e-05,1.5603113300487715e-05
crag_16_TILE_16,0.01657674022987284,0,5.450291694719141e-05,3.399607269631453e-05
crag_16_TILE_20,0.017389892470757718,0,0.00020132952151756943,8.609593803950959e-05
crag_17_TILE_18,0.012524271593590451,0,0.0004648819472712017,0.0015430954967732625
crag_17_TILE_22,0.022164335135748222,0,0.0001936259927131972,9.35183029995861e-05
crag_17_TILE_32,0.03720949381744314,0,0.0007479083234540387,0.00854460035503971
crag_18_TILE_13,0.013371998309018909,0,0.00011108842580655954,7.229876387341464e-05
crag_18_TILE_23,0.011820757187975942,0,0.00010055709702848051,5.5961863500338685e-05
crag_18_TILE_30,0.014233368851810726,0,7.150820319917524e-05,3.211316244899179e-05
crag_19_TILE_11,0.011493481534460217,0,3.645335451080506e-05,1.2633817442884477e-05
crag_19_TILE_4,0.013941074786434637,0,0.0003145287393107259,0.00045850702621978636
crag_1_TILE_20,0.014236907625630398,0,0.0002718435438451238,0.0001849118116034839
crag_1_TILE_25,0.01267739726332114,0,0.00015808041041791694,0.0001265687418031445
crag_20_TILE_15,0.016216434557114308,0,8.198987052993184e-05,4.056006224449865e-05
