,component_0,component_1,component_2,component_3,component_4,component_5,component_6,component_7,component_8,component_9
component_0,0.0,3.6471573722081114,6.0631402984628355,4.6188486059825875,6.804210948174972,3.778020718866432,2.907933706118721,1.6683468679342983,13.586916969982546,4.508671777102834
component_1,3.6471573722081114,0.0,3.938667937409556,7.596022543510647,9.469390717812999,3.752844274336881,4.709082907622677,3.536221196222834,12.624371404664437,3.1079742776125716
component_2,6.0631402984628355,3.938667937409556,0.0,9.970513823175512,11.284197790108228,3.5778846219444116,7.591867417304551,5.364874791614249,10.51124116914964,2.3164628070388953
component_3,4.6188486059825875,7.596022543510646,9.970513823175512,0.0,4.205968560662423,7.088088630150046,3.4125643730547135,5.228665198229803,16.301880867989425,8.348660680930777
component_4,6.804210948174972,9.469390717812999,11.284197790108228,4.205968560662423,0.0,7.837428172752899,6.463676473951297,6.580287833513562,16.89762414840799,9.41068848817571
component_5,3.778020718866432,3.752844274336881,3.5778846219444116,7.088088630150046,7.837428172752899,0.0,5.397455555876998,2.7266329838026504,11.674691662067465,1.8838513843838043
component_6,2.907933706118721,4.709082907622677,7.591867417304551,3.4125643730547135,6.463676473951297,5.397455555876998,0.0,3.673761155675975,14.813368009949933,6.163138682904316
component_7,1.6683468679342983,3.536221196222834,5.364874791614249,5.228665198229803,6.5802878335135615,2.7266329838026504,3.673761155675975,0.0,12.955655195954177,3.8223572482581245
component_8,13.586916969982546,12.624371404664439,10.51124116914964,16.301880867989425,16.897624148407985,11.674691662067465,14.813368009949933,12.955655195954177,0.0,11.135883399285284
component_9,4.508671777102834,3.1079742776125716,2.3164628070388953,8.348660680930777,9.41068848817571,1.8838513843838043,6.163138682904316,3.8223572482581245,11.135883399285284,0.0
