component_index,determinant,relative_volume,n_features
0,5.3596881393613835e-37,7.320989099405478e-19,18
1,3.345931909172494e-28,1.8291888664576148e-14,18
2,3.404422099008279e-35,5.834742581304062e-18,18
3,3.853102148806238e-33,6.207336102392264e-17,18
4,8.409036896742155e-19,9.170080096019966e-10,18
5,2.827262849045692e-29,5.317201189578679e-15,18
6,4.940050883690688e-34,2.2226225238871955e-17,18
7,3.6889522947179195e-26,1.9206645450775415e-13,18
8,4.543572880421731e-47,6.740603000045123e-24,18
9,1.0800297965293054e-37,3.2863806786939724e-19,18
