uq_map_name,BCA,ICA,AVG,ATA 0.3,ATA 0.5,ATA 0.7,AQA 0.60,AQA 0.75,AQA 0.90,QFR,PLM 10,PLM 20,PLM 50,is_ood,GMM-All,GMM-Int,GMM-Spa
0603_00,0.07259477179185853,0.07259477179185853,0.0006964393727410443,0.7975251575204648,0.988220696011928,0.988220696011928,0.0013928691338006838,0.002320952054576747,0.006954386256132613,0.08347659944512689,0.028471054196536952,0.0071270669710200895,0.0017826798705104338,0,0.0009091218335015,0.0006231154051655,0.0160488955721177
0644_01,0.11654020874224444,0.11654020874224444,0.02320641188225739,0.6485601265098722,0.8049035863657593,0.9055495762722978,0.04641280545673876,0.07733595978676659,0.2209747637092286,0.23244015122214975,0.2557375970763268,0.13689532925236447,0.05939556606467857,0,0.1742556372941761,0.1875843860678503,0.0869827766725315
0453_01,0.09561188532203632,0.09561188532203632,0.001224435270759781,0.7078123460856749,0.8813798493229312,0.8813798493229312,0.0024488656130080963,0.004080708876948152,0.012230749770535409,0.16153440051588905,0.050120361925366265,0.012535831202650729,0.0031344544910185314,0,0.0002023655682875,0.0001235842693215,0.0245575190522176
0299_02,0.10024100295413964,0.10024100295413964,0.0020959772523633687,0.7294376273367309,0.7642548442715682,0.8646944006718046,0.004191950720851017,0.0069853897442327525,0.02093651784986824,0.19024463782417528,0.08572036764745172,0.021456621751481827,0.005365606719447535,0,6.414030666389368e-05,4.297791198588948e-06,0.0393002529166043
0574_01,0.179538812517749,0.179538812517749,0.0028708163760579808,0.7628186199182198,0.826730645767737,0.8615170699255318,0.005741625987232802,0.009567775354257086,0.028677553651085652,0.2495358483624698,0.11727684008918957,0.029391426163152965,0.007349166167870552,0,0.0006845788826236,0.0001880311712464,0.0751043532164294
0115_00,0.09966475290990859,0.09966475290990859,0.018386243536987923,0.6914147369147589,0.7551076066262158,0.8586989834534094,0.036772452793911115,0.06126493762225394,0.1767138194500203,0.28407956665776857,0.24979133176686694,0.15838957460722108,0.047036615964578726,0,0.0521367929557919,0.0448619896104365,0.1537890325726423
0623_00,0.049564193872972596,0.049564193872972596,0.0010987962024007615,0.6594895601721881,0.7620984118565441,0.9058910102043811,0.002197568929317259,0.003661757146760316,0.010972014951896335,0.11210082732156398,0.04488715754752016,0.01123760217266211,0.0028125911125714415,0,0.0003755935205486,0.0003869380571018,0.0009529724545804
0475_01,0.11838146683793957,0.11838146683793957,0.024096167062415092,0.6324351628454418,0.7624905918553143,0.858276904819266,0.04819232239995146,0.08030463351140672,0.2341084577632348,0.2551426078805277,0.2372247455173562,0.14825594978803847,0.061683020791758775,0,0.1244938989215314,0.1555390666025163,0.1091584061912778
0622_02,0.06825109485479341,0.06825109485479341,0.0016590284030827476,0.8301220018594354,0.8939706920266537,0.8939706920266537,0.0033180408467526007,0.005528932606969407,0.016568552611277435,0.10907655937916376,0.06756418754456216,0.016979585915556906,0.00424693194809655,0,4.546887352349568e-05,4.107248505932751e-05,0.0161971816589585
0644_02,0.14359574361655741,0.14359574361655741,0.02260811806064309,0.7314954523509404,0.8094323098737141,0.9058890577406259,0.04521622126890833,0.07534673269069049,0.22430713565297294,0.28102819340439644,0.4125968337632021,0.17025215956905554,0.05787462541844194,0,0.0603062059839,0.0744501213042138,0.1057872055402173
0048_00,0.08738234684446115,0.08738234684446115,0.009168260608114267,0.7492503674522261,0.8318052540052039,0.9101752438487516,0.018336517427899584,0.030555800103938827,0.09134287036176011,0.20003178742069294,0.12969230699338627,0.09125367272687161,0.023470672474191344,0,0.0006583769724578,0.0005022938279188,0.0619064537841874
0221_02,0.10732553704224641,0.10732553704224641,0.008310134879380777,0.722380675167117,0.804019358322875,0.8623892287184627,0.016620253398627126,0.027695385527499262,0.08278492714612783,0.19759652221748708,0.16363298554950975,0.08450974570891477,0.021273687566770255,0,0.0002791359484476,0.000255938836425,0.0542195486947355
0038_03,0.05237787733365755,0.05237787733365755,0.0012222892251957606,0.8320077449451408,0.8320077449451408,0.8320077449451408,0.002444528423784599,0.0040727257551325165,0.012191818823163704,0.12699598997039405,0.049667392090777696,0.012455889775025916,0.003128118400376858,0,0.0003034567217445,0.0002669807472703,0.0193274771904305
